1414	101	0.57
1415	100	0.56
1416	96	0.56
623	117	0.57
1417	109	0.56
624	93	0.54
1418	107	0.53
1419	106	0.56
1420	103	0.53
1421	105	0.55
1422	100	0.54
1423	89	0.39
253	113	0.52
1424	113	0.57
1425	105	0.55
113	112	0.54
1426	85	0.55
1427	98	0.55
1428	101	0.53
1429	93	0.53
1430	101	0.52
1431	95	0.54
625	113	0.57
1432	110	0.57
1433	95	0.58
1434	85	0.56
1435	95	0.57
1436	100	0.56
1437	103	0.58
1438	113	0.56
254	105	0.56
1439	97	0.57
1441	105	0.54
1442	91	0.53
626	107	0.57
1443	97	0.55
1444	112	0.55
1445	102	0.55
1446	110	0.57
1447	108	0.56
1448	94	0.51
1449	75	0.54
1450	91	0.55
627	96	0.52
1451	98	0.58
1452	96	0.44
1453	106	0.54
255	94	0.52
1454	105	0.54
1455	98	0.54
1456	101	0.56
256	96	0.56
257	100	0.55
628	84	0.53
1457	109	0.56
1458	98	0.4
1459	100	0.55
258	94	0.55
1460	95	0.55
629	99	0.55
1461	106	0.54
1462	91	0.56
630	104	0.58
259	90	0.54
114	107	0.55
115	86	0.53
1463	102	0.58
1464	91	0.55
1465	100	0.54
1466	116	0.56
1467	101	0.54
1468	110	0.57
1469	104	0.47
1470	91	0.52
1471	108	0.57
1472	110	0.52
1473	121	0.55
1474	95	0.55
1475	109	0.54
1476	112	0.57
1477	90	0.58
1478	105	0.55
116	91	0.54
1479	85	0.54
1480	103	0.57
1481	107	0.57
1482	99	0.57
1483	104	0.54
1484	109	0.53
1485	84	0.55
260	102	0.56
1486	89	0.53
261	97	0.53
1487	104	0.31
1488	109	0.57
1489	96	0.55
1490	98	0.57
1491	105	0.54
1492	99	0.55
1493	96	0.56
1494	110	0.54
1495	91	0.54
1496	100	0.55
1497	107	0.55
1498	98	0.56
631	101	0.56
262	103	0.57
1499	108	0.54
1500	109	0.57
1501	97	0.53
1502	101	0.57
1503	108	0.57
1504	107	0.55
1505	89	0.54
1506	86	0.54
1507	108	0.51
1508	102	0.53
1509	101	0.55
632	105	0.54
1510	107	0.54
633	84	0.55
263	100	0.55
58	91	0.53
1511	97	0.57
264	117	0.51
265	90	0.57
1512	94	0.56
634	105	0.5
635	107	0.55
1513	88	0.57
1514	98	0.55
1515	90	0.55
1516	92	0.5
1517	103	0.54
1518	99	0.54
1519	97	0.57
1520	108	0.53
266	95	0.55
1521	102	0.54
636	107	0.58
1522	115	0.54
1523	96	0.54
637	88	0.54
1524	100	0.56
1525	103	0.57
1526	96	0.54
1527	92	0.55
267	100	0.56
1528	105	0.45
1529	95	0.54
1530	106	0.56
268	107	0.48
1531	104	0.54
1532	92	0.53
1533	98	0.52
1534	99	0.54
1535	87	0.53
1536	106	0.52
1537	108	0.55
59	83	0.57
1538	98	0.57
269	97	0.57
638	88	0.55
1539	111	0.59
639	96	0.56
1540	85	0.55
640	110	0.55
1541	103	0.56
60	100	0.51
1542	101	0.54
1543	87	0.48
1544	95	0.34
1545	90	0.51
641	100	0.13
1546	91	0.52
1547	92	0.53
1548	106	0.54
1549	108	0.55
1550	103	0.55
1551	95	0.51
28	98	0.43
1552	101	0.54
1553	109	0.54
1554	107	0.53
642	76	0.51
1555	93	0.56
643	103	0.55
1556	94	0.55
644	108	0.51
1557	95	0.54
1558	98	0.57
1559	109	0.55
645	107	0.56
1560	106	0.55
1561	107	0.53
1562	104	0.58
1563	103	0.58
1564	102	0.55
1565	88	0.56
1566	103	0.56
1567	108	0.55
1568	112	0.53
1569	97	0.54
646	86	0.54
1570	93	0.55
1571	111	0.58
1572	95	0.55
270	103	0.58
1573	95	0.55
1574	109	0.55
1575	113	0.55
647	100	0.57
1576	98	0.57
1577	93	0.55
1578	94	0.53
1579	106	0.55
1580	92	0.59
1581	96	0.56
1582	100	0.53
1583	96	0.56
1584	93	0.54
648	112	0.53
649	102	0.48
1585	109	0.58
1586	106	0.56
1587	105	0.51
271	85	0.57
272	103	0.56
650	112	0.54
651	99	0.55
1588	99	0.56
1589	107	0.59
62	108	0.53
1590	101	0.57
1591	104	0.55
1592	103	0.54
1593	110	0.56
1594	102	0.55
652	110	0.54
273	112	0.53
1595	108	0.55
1596	108	0.56
1597	96	0.54
1598	88	0.53
653	91	0.51
654	103	0.56
1599	101	0.52
655	106	0.55
274	89	0.54
117	106	0.57
656	98	0.53
1601	96	0.53
1602	90	0.38
657	103	0.52
1603	92	0.55
1604	104	0.56
658	105	0.56
1605	94	0.56
1606	108	0.56
1607	107	0.54
1608	101	0.57
275	91	0.54
1609	109	0.56
1610	108	0.52
1611	88	0.54
1612	88	0.56
1613	94	0.54
1614	94	0.57
1615	109	0.56
659	89	0.56
1616	106	0.57
1617	107	0.54
1618	113	0.57
1619	100	0.55
660	114	0.51
1620	100	0.57
1621	102	0.53
1622	102	0.54
1623	88	0.56
1624	104	0.54
1625	101	0.54
1626	103	0.57
1627	110	0.56
1628	112	0.54
1629	110	0.58
1630	89	0.54
1631	106	0.55
1632	89	0.55
1633	112	0.52
1634	111	0.56
661	98	0.54
1635	106	0.5
277	85	0.26
1636	98	0.55
1637	107	0.55
1638	106	0.57
1639	106	0.58
1640	92	0.52
1641	91	0.57
1642	75	0.52
118	92	0.56
1643	99	0.58
1644	101	0.56
1645	101	0.55
1646	92	0.57
662	87	0.55
1647	114	0.55
1648	108	0.54
1649	99	0.56
1650	97	0.42
1651	94	0.58
1652	98	0.59
663	100	0.55
664	96	0.55
1653	101	0.55
1654	96	0.57
1655	116	0.56
1656	89	0.54
1657	108	0.56
1658	80	0.56
1659	94	0.53
665	105	0.47
1660	98	0.55
1661	93	0.56
1663	113	0.56
1664	109	0.55
1665	101	0.54
1666	95	0.57
1667	106	0.56
1668	108	0.57
1669	86	0.56
666	96	0.58
1670	106	0.54
1671	109	0.54
1672	110	0.55
1673	91	0.55
1674	94	0.56
1675	105	0.59
1676	82	0.56
1677	103	0.54
1678	87	0.53
1679	111	0.58
1680	105	0.57
1681	97	0.54
1682	87	0.54
1683	105	0.56
1684	102	0.54
667	98	0.55
1685	100	0.56
119	104	0.56
1686	87	0.52
1687	95	0.49
278	96	0.5
1688	108	0.54
1689	97	0.55
668	106	0.55
1690	104	0.57
1692	88	0.45
1693	103	0.56
1694	57	0.55
1695	103	0.52
1696	94	0.26
279	100	0.53
669	109	0.58
1697	76	0.52
1698	101	0.55
1699	94	0.55
670	86	0.52
1700	87	0.53
1701	99	0.55
1702	91	0.55
280	91	0.55
1703	103	0.54
1704	98	0.55
1705	91	0.52
1706	107	0.33
1707	102	0.55
1708	100	0.53
671	94	0.53
1709	98	0.51
1710	101	0.55
1711	96	0.56
1712	108	0.54
1713	96	0.55
1714	116	0.56
1715	99	0.35
1716	76	0.56
672	105	0.39
673	107	0.54
1717	93	0.52
1718	99	0.52
1719	104	0.55
1720	107	0.54
1721	104	0.54
1722	74	0.36
1723	105	0.55
1724	100	0.34
1725	110	0.57
1726	106	0.57
1727	102	0.57
1728	100	0.54
1729	111	0.56
1730	100	0.51
1731	94	0.54
1732	107	0.57
1733	100	0.53
1734	107	0.57
1735	96	0.57
1736	118	0.54
1737	92	0.55
1738	94	0.58
674	93	0.53
1739	108	0.56
1740	94	0.55
1741	103	0.52
1742	109	0.54
1743	93	0.56
1744	100	0.57
1745	107	0.54
1746	112	0.55
1747	99	0.54
1748	87	0.53
1749	106	0.54
1750	103	0.54
1751	98	0.58
1752	110	0.57
1753	104	0.53
1754	118	0.54
1755	106	0.55
1756	99	0.54
675	102	0.3
1757	94	0.54
1758	112	0.56
1759	106	0.55
1760	89	0.36
1761	104	0.56
1762	98	0.53
1763	107	0.55
1764	98	0.56
1765	104	0.55
1766	76	0.39
1767	104	0.57
1768	104	0.47
120	93	0.5
1769	92	0.54
1770	94	0.53
1771	99	0.58
1772	108	0.54
1773	86	0.56
1774	83	0.53
1775	97	0.53
1776	106	0.56
281	96	0.56
1777	95	0.56
1778	102	0.49
1779	81	0.53
282	94	0.54
